category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,ليندا جيمس مايرز,Linda James Myers,thk-lmyers,1985-2026,علم النفس المتمركز حول أفريقيا (Africentric/Optimal Theory),CONFIRMED_REAL,عالمة نفس أمريكية موثقة جيدا (مواليد 1948) صاحبة نظرية Optimal Psychology.,TRUE
thinkers,لورينا أونان,Lorena Onnis,thk-lonan,1985,العلاج الأسري الميلاني (Milan Systemic),LIKELY_FABRICATED,لا يوجد أثر أكاديمي لهذا الاسم مرتبط بالمدرسة الميلانية؛ فقط نتائج لينكدإن غير ذات صلة.,N-A
thinkers,لويس غيرني,Louise F. Guerney,thk-louise-guerney,1960-2000,Filial Therapy (العلاج العلائقي الوالد-الطفل),CONFIRMED_REAL,معالجة أمريكية موثقة جيدا طورت مع زوجها برنارد غيرني العلاج العلائقي الوالدي في الستينيات.,TRUE
thinkers,إيفار لوفاس,Ole Ivar Lovaas,thk-lovaas,1965-2005,تحليل السلوك التطبيقي للتوحد (br-aba-autism),CONFIRMED_REAL,عالم نفس نرويجي-أمريكي موثق جيدا (1927-2010) رائد ABA لعلاج التوحد في UCLA.,TRUE
thinkers,لورا بيرلز,Laura Perls,thk-lperls,1942-1990,علاج الجشطالت (Gestalt Therapy),CONFIRMED_REAL,مؤسسة مشاركة موثقة جيدا لعلاج الجشطالت (1905-1990) مع فريتز بيرلز وبول غودمان. ملف موجود مسبقا في النظام.,FALSE
thinkers,لويس شولتز,Louis Schultz,thk-lschultz,1973-2010,الرولفينغ والتكامل الهيكلي,CONFIRMED_REAL,معالج رولفينغ ومؤلف أمريكي موثق (R. Louis Schultz/Shultz) معتمد منذ 1973 ومؤلف كتب مرجعية في المجال.,TRUE
thinkers,لودفيغ بينسوانغر,Ludwig Binswanger,thk-ludwigbinswanger,1908-1966,المدرسة الوجودية (Daseinsanalyse),CONFIRMED_REAL,طبيب نفسي سويسري شهير جدا (1881-1966) مؤسس تحليل الوجود Daseinsanalyse.,TRUE
thinkers,لورا ووكر,Laura A. Walker,thk-lwalker,1980-2010,العلاج بالتحويل (Conversion Therapy),LIKELY_FABRICATED,لا يوجد أثر لشخص بهذا الاسم مرتبط بالعلاج بالتحويل؛ كل النتائج لأشخاص مختلفين في مجالات غير ذات صلة.,N-A
thinkers,ليمن وين,Lyman C. Wynne,thk-lwynne,1958-2000,العلاج الأسري والزوجي الدينامي (br-dynamic-couples-family-therapy),CONFIRMED_REAL,طبيب نفسي أمريكي موثق جيدا صاحب مفهوم pseudo-mutuality وأبحاث الفصام والأسرة.,TRUE
thinkers,ميلاني سيغال,Melanie Segall,thk-melanie-segall,2010,التنويم الذاتي,LIKELY_FABRICATED,لا يوجد أي أثر بحثي أو مهني لهذا الاسم.,N-A
thinkers,ميليسا شيفر,Melissa Schaefer,thk-melissaschaefer,2010,br-mst,LIKELY_FABRICATED,لا دليل على أنها مطورة أو منظّرة للعلاج المتعدد الأنساق (MST)؛ المؤسس الفعلي هو سكوت هنغلر. النتائج المطابقة للاسم أشخاص عاديون بلا صلة نظرية بـMST.,N-A
thinkers,مارغريت هيكي,Margaret Hickey,thk-mhickey,1990-2020,CBCT,LIKELY_FABRICATED,لا دليل على ارتباطها بتطوير العلاج المعرفي السلوكي الزوجي المشترك لاضطراب ما بعد الصدمة (CBCT)؛ المطورون الفعليون هم كانديس مونسون وستيفن سوتر.,N-A
thinkers,ميتشيو هوسوكاوا,Michio Hosokawa,thk-mhosokawa,1975,علاج موريتا,LIKELY_FABRICATED,لا يوجد أثر لطبيب نفسي بهذا الاسم مرتبط بعلاج موريتا.,N-A
thinkers,مايكل ديرمر,Michael Der Meer,thk-michael-derm,2005,تقنية ألكسندر,LIKELY_FABRICATED,لا يوجد أثر لمعلم بهذا الاسم في مجتمع تقنية ألكسندر.,N-A
thinkers,مايكل غوثري,Michael Guthrie,thk-michael-guthrie,2012,العلاج الديناميكي البيني القصير (DIT),LIKELY_FABRICATED,لا دليل على شخص بهذا الاسم مرتبط بتطوير DIT؛ الاسم القريب الموجود هو Else Guthrie (امرأة) المرتبطة بنموذج المحادثة السابق لـDIT وليست نفس الشخص.,N-A
thinkers,مايكل سويتنغ,Michael Sweeting,thk-michaelsweeting,1990,Te Whare Tapa Whā,LIKELY_FABRICATED,لا أثر لهذا الاسم؛ نموذج Te Whare Tapa Wha طوره الطبيب النفسي الماوري ميسون دوري (Mason Durie).,N-A
thinkers,ميتشيو ميزونو,Michio Mizuno,thk-michio-mizuno,1960,علاج نايكان,LIKELY_FABRICATED,لا أثر لهذا الاسم؛ مؤسس علاج نايكان هو إيشين يوشيموتو.,N-A
thinkers,لي مينغ شنغ,Li Mingsheng,thk-mingshengli,2010,الطاوية المعرفية,LIKELY_FABRICATED,العلاج المعرفي الطاوي الصيني (CTCT/CTCP) حقيقي وموثق لكن لا يوجد ربط موثق بهذا الاسم كمؤسس أو منظّر رئيسي له.,N-A
thinkers,مينو بولين,Mino Paulin,thk-minopaulin,2000,العلاج الحسي-الحركي,LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم؛ العلاج الحسي-الحركي (Sensorimotor Psychotherapy) طورته باميلا أوجدن.,N-A
thinkers,نوربيرتو بوستوس,Norberto Bustos,thk-nbustos,1975-2010,السيكودراما والسوسيومتري,LIKELY_FABRICATED,لا أثر لـNorberto Bustos تحديدا؛ الاسم القريب الموثق هو دالميرو م. بوستوس (Dalmiro M. Bustos) وهو اسم أول مختلف فلم أعتبره تطابقا مؤكدا.,N-A
thinkers,نعوم تشومسكي,Noam Chomsky,thk-nchomsky,1957-2026,علم النفس,CONFIRMED_REAL,لغوي وفيلسوف أمريكي شهير عالميا؛ مجاله الأساسي اللسانيات وليس علم النفس الإكلينيكي لكن تأثيره في الثورة المعرفية بعلم النفس موثق تاريخيا.,TRUE
thinkers,نيكول تول,Nicole Toole,thk-nicotole,2010,تقنيات الحرية الانفعالية (EFT),LIKELY_FABRICATED,لا يوجد أثر مهني أو بحثي لهذا الاسم مرتبط بـEFT؛ فقط حسابات تواصل اجتماعي عادية.,N-A
thinkers,نانا إيوسيبا,Nana Iosepa,thk-niosepa,1970-2000,Ho'oponopono (هاواي),LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم مرتبط بممارسة الهوأوبونوبونو.,N-A
thinkers,نيخيل خانا,Nikhil Khanna,thk-nkhanna,2012,علم النفس الإيجابي الشرقي,LIKELY_FABRICATED,لا يوجد أثر لشخص بهذا الاسم مرتبط بعلم النفس الإيجابي الشرقي؛ كل النتائج لأشخاص مختلفين في مجالات أخرى.,N-A
thinkers,ناثانئيل لِرمان,Nathaniel Lehrman,thk-nlehrman,1960-2010,العلاج بالتحويل (Conversion Therapy),CONFIRMED_REAL,طبيب نفسي أمريكي موثق جيدا (1923-2020) مرتبط بجمعية NARTH وكتاباته المعارضة لقبول المثلية.,TRUE
thinkers,نْيلسون مَغَنْي,N. Chabani Manganyi,thk-nmanganyi,1973-2010,علم نفس الأوبونتو (Ubuntu),CONFIRMED_REAL,أول عالم نفس إكلينيكي أسود مؤهل في جنوب أفريقيا وموثق جيدا؛ مجاله علم النفس الأفريقي عموما وليس نظرية الأوبونتو تحديدا فالربط قريب لكن غير حرفي.,TRUE
thinkers,ناتالي روجرز,Natalie Rogers,thk-nrogers,1975-2015,الفنون التعبيرية التعددية,CONFIRMED_REAL,معالجة أمريكية موثقة جيدا (1928-2015) ابنة كارل روجرز ومؤسسة العلاج بالفنون التعبيرية المتمركز حول الشخص.,TRUE
thinkers,نوبو واتانابي,Nobuo Watanabe,thk-nwatanabe,1990,علاج موريتا,LIKELY_FABRICATED,لا يوجد أثر لطبيب نفسي بهذا الاسم مرتبط بعلاج موريتا؛ كل النتائج لباحثين طبيين مختلفين بنفس الاسم في مجالات أخرى.,N-A
thinkers,أولغا سيلفرشتاين,Olga Silverstein,thk-osilver,1970-2005,br-dynamic-couples-family-therapy,CONFIRMED_REAL,معالجة أسرية أمريكية موثقة جيدا من معهد أكرمان توفيت 2009.,TRUE
thinkers,بابارانغي ريد,Papaarangi Reid,thk-papaarangireid,1995-2026,Kaupapa Māori Psychology,CONFIRMED_REAL,طبيبة صحة عامة نيوزيلندية بارزة موثقة جيدا في مجال العدالة الصحية لدى الماوري؛ مجالها الأدق صحة عامة وليس علم نفس إكلينيكي لكنه ضمن تقليد كاوبابا ماوري.,TRUE
thinkers,بول أبلباوم,Paul S. Appelbaum,thk-pappelbaum,1977-2026,br-therapeutic-risk-assessment,CONFIRMED_REAL,طبيب نفسي أمريكي موثق جيدا (مواليد 1951) خبير عالمي في تقييم مخاطر العنف والقانون النفسي.,TRUE
thinkers,بارك جونغ-إيك,Park Jong-Ik,thk-parkjongik,1990-2026,علاج الهوابيونغ (Hwabyung),CONFIRMED_REAL,باحث كوري حقيقي منشور في أبحاث محكمة حول متلازمة الهوابيونغ.,TRUE
thinkers,باتريس دي ماركو,Patrice De Marco,thk-patrice-de-marco,2005,التنويم الذاتي,LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم مرتبط بالتنويم الذاتي.,N-A
thinkers,بول ثورن,Paul Thorne,thk-paul-thorne,2010,إعادة الولادة,LIKELY_FABRICATED,لا يوجد أثر مهني موثق لشخص بهذا الاسم كمنظّر أو مطوّر لعلاج إعادة الولادة.,N-A
thinkers,بول جي. توماس,Paul G. Thomas,thk-paulgthomas,1979-1990,السيبرنتيكا النفسية,CONFIRMED_REAL,مؤلف أمريكي موثق لعدة كتب حول السيبرنتيكا النفسية والتغذية الراجعة النفسية.,TRUE
thinkers,بول هولمز,Paul Holmes,thk-paulholmes,1980-2025,السيكودراما والسوسيومتري,CONFIRMED_REAL,طبيب نفسي بريطاني موثق جيدا (توفي 2025) مؤلف مراجع أساسية في السيكودراما.,TRUE
thinkers,فيلس بوث,Phyllis B. Booth,thk-pbooth,1970-2020,Theraplay,CONFIRMED_REAL,معالجة أمريكية موثقة جيدا أحد مؤسسي ثيرابلاي مع آن جيرنبرغ.,TRUE
thinkers,بولا كابلان,Paula J. Caplan,thk-pcaplan,1985-2021,العلاج النفسي النسوي,CONFIRMED_REAL,عالمة نفس أمريكية-كندية موثقة جيدا (1947-2021) ناقدة نسوية بارزة للتشخيص النفسي.,TRUE
thinkers,بيما تشُدرُن,Pema Chödrön,thk-pchodron,1984-2026,العلاج النفسي التأملي,CONFIRMED_REAL,راهبة ومعلمة بوذية أمريكية شهيرة جدا (مواليد 1936)؛ ليست معالجة إكلينيكية بالمعنى المهني لكن تأثيرها في التأمل والعلاج القائم على اليقظة الذهنية موثق.,TRUE
thinkers,بيغ پيندر,Peg Pendry,thk-peg-pender,2010,فرق العكس العاكسة,LIKELY_FABRICATED,لا يوجد أثر واضح لشخص بهذا الاسم كمنظّر لفرق العكس العاكسة (reflecting teams)؛ المؤسس الفعلي هو توم أندرسن.,N-A
thinkers,بيكا يوكينن,Pekka Jokinen,thk-pekkajokinen,1990,الحوار المفتوح,LIKELY_FABRICATED,لا يوجد أثر لشخص بهذا الاسم مرتبط بالحوار المفتوح؛ المؤسسون الفعليون هم ياكو سيكولا وآخرون في تورنيو فنلندا.,N-A
thinkers,بينيلوبي إيست,Penelope East,thk-penelopeeast,1980-2010,تقنية ألكسندر,LIKELY_FABRICATED,لا يوجد أثر لمعلمة بهذا الاسم في مجتمع تقنية ألكسندر.,N-A
thinkers,بيني لويس,Penny Lewis,thk-penny-lewis,1975-2003,العلاج بالحركة والرقص,CONFIRMED_REAL,معالجة أمريكية موثقة جيدا (Penny Parker Lewis 1946-2003) رائدة العلاج بالحركة والرقص ومؤسسة برنامج أنطيوك.,TRUE
thinkers,محمد خليفة,Muhammad Khalifa,thk-mkhalifa,2000-2026,علم النفس الإيجابي الإسلامي,CONFIRMED_REAL,أستاذ أمريكي حقيقي بارز في القيادة التربوية له أبحاث حول الهوية والرفاه لدى المسلمين وعلم النفس الإيجابي من منظور إسلامي؛ مجاله الأساسي تربوي وليس نفسي إكلينيكي بحت.,TRUE
thinkers,ميليسا كينغ,Melissa King,thk-mking,2005,Ho'oponopono (هاواي),LIKELY_FABRICATED,لا يوجد أثر حقيقي لهذا الاسم مرتبط بالهوأوبونوبونو؛ التطابق الوحيد شخصية خيالية في مسلسل تلفزيوني.,N-A
thinkers,مارك روتشرِي,Mark Rothery,thk-mrothery,1992-2010,العلاج الاجتماعي (Social Therapy),LIKELY_FABRICATED,يوجد أكاديمي حقيقي بهذا الاسم لكنه مؤرخ اجتماعي متخصص في الطبقة الأرستقراطية الإنجليزية وليس معالجا اجتماعيا نفسيا؛ لا تطابق في المجال.,N-A
thinkers,مارغريت شوارز,Margaret Schwarz,thk-mschwarz,1980-2010,النظرية العامة للأنظمة,LIKELY_FABRICATED,لا يوجد أثر لشخص بهذا الاسم مرتبط بنظرية الأنظمة العامة؛ الأسماء المطابقة في نتائج البحث في مجالات طبية أو غير ذات صلة.,N-A
thinkers,مارك ووردن,Mark Worden,thk-mworden,1990-2005,علاج إيماغو العلائقي,CONFIRMED_REAL,معالج زواجي أمريكي موثق مؤلف مشارك لكتب حول علاج الأزواج بمنظور إيماغو والفروق الجندرية.,TRUE
thinkers,مون يوِن,Mon Mon Yuen,thk-myuen,1995,العلاج السردي,LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم بالضبط؛ الاسم القريب الموثق في العلاج السردي هو Angel Yuen (اسم أول مختلف تماما فلم أعتبره تطابقا مؤكدا).,N-A
thinkers,نانسي هارنِس,Nancy Harness,thk-nancy-harness,1995,br-restorative-justice,LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم كمنظّرة أو رائدة في العدالة التصالحية.,N-A
thinkers,ماريا روساريو ألفيلور,Ma. Rosario Alfelor,thk-ma-rosario-alfelor,2005,Sikolohiyang Pilipino (Filipino Psychology),LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم مرتبط بحركة Sikolohiyang Pilipino؛ الشخصية الرئيسية الموثقة للحركة هي فيرجيليو إنريكيز.,N-A
thinkers,ماريان ماهونِي,Marian J. Mahoney,thk-mahoney,1990,Filial Therapy (العلاج العلائقي الوالد-الطفل),LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم مرتبط بالعلاج العلائقي الوالدي؛ فقط نتائج لأشخاص مختلفين بنفس الاسم.,N-A
thinkers,مارسيا ماركس,Marcia B. Marx,thk-marciamarx,1990,السيكودراما والسوسيومتري (Moreno),LIKELY_FABRICATED,يوجد شخص حقيقي بهذا الاسم لكنها فنانة تشكيلية أمريكية (1931-2005) غير مرتبطة بالسيكودراما إطلاقا؛ لا تطابق في المجال.,N-A
thinkers,مارغريت بلوستين,Margaret Bluestein,thk-margaret-bluestein,2010,الأنساق الأسرية الداخلية (IFS),LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم مرتبط بنموذج الأنساق الأسرية الداخلية؛ مؤسس IFS هو ريتشارد شварتز.,N-A
thinkers,مارغريت بودكن,Margaret L. Bodkin,thk-margaretbodkin,1990,العلاج بالخبرة/التجريبي,LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم مرتبط بالعلاج التجريبي.,N-A
thinkers,ماريان كركمار,Marian Krcmar,thk-marian-krcmar,2010-2026,br-performance-psychology,CONFIRMED_REAL_WRONG_SCHOOL,الاسم الصحيح الموثق هو Marina Krcmar (وليس Marian) وهي أستاذة أمريكية حقيقية متخصصة في علم نفس الإعلام (Media Psychology) والتنمية المعرفية للطفل عبر الوسائط، وليس علم النفس الأدائي (performance psychology). صححت الاسم والمدرسة في الملف.,TRUE
thinkers,ماريان ستروم,Marianne Ström,thk-marianne-strom,2010,العلاج بالتصوير الضوئي,LIKELY_FABRICATED,يوجد شخص حقيقي بهذا الاسم لكنها باحثة طبية في طب العيون (تنكس بقعي) غير مرتبطة بالعلاج بالتصوير الضوئي إطلاقا؛ لا تطابق في المجال.,N-A
thinkers,ماريان كلاين,Marianne Kline,thk-mariannekline,2000,الخبرة الجسدية (Somatic Experiencing),LIKELY_FABRICATED,لا يوجد أثر لهذا الاسم مرتبط بالخبرة الجسدية؛ مؤسس Somatic Experiencing هو بيتر ليفين.,N-A
