category,title_ar,title_en,slug,active_period,school
thinkers,فريد برلين,Fred S. Berlin,thk-fberlin,1985,br-sotp
thinkers,فلورنس كاني,Florence Cane,thk-fcaine,1930-1952,العلاج بالفن
thinkers,فريد إيمري,Fred E. Emery,thk-femery,1955-1997,النظرية العامة للأنظمة
thinkers,فرانسيسكو غوتيريس,Francisco Gutiérrez,thk-fgutier,1975-2020,علم نفس التحرير (Liberation Psychology)
thinkers,فريغا هاوُغ,Frigga Haug,thk-fhaug,1980,علم النفس النقدي
thinkers,ف. كي. فو,F. K. Fu,thk-fkfu,1980,br-teacch
thinkers,فرانك ليك,Frank Lake,thk-flake,1950-1982,العلاج البدائي
thinkers,ماري كورنين,Mary E. Corrigan,thk-fmodestin,1990,br-psychiatric-vocational-rehab
thinkers,فريد بيسشكيان,Farid Peseschkian,thk-fpeseschkian,1990,العلاج الإيجابي عبر-الثقافي (Peseschkian)
thinkers,فرانك أندرسون,Frank G. Anderson,thk-frankanderson,2005,الأنساق الأسرية الداخلية (IFS)
thinkers,فريديريك ليونغ,Frederick T. L. Leong,thk-frederickleong,1990,الاستشارات متعددة الثقافات
thinkers,فريد فولكمار,Fred R. Volkmar,thk-fvolkmar,1985,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,جين أبيل,Gene G. Abel,thk-gabel,1975-2010,br-sotp
thinkers,جورج بَخ,George R. Bach,thk-gbach,1966-1986,حركة اللقاء الجماعي
thinkers,غاري بوند,Gary R. Bond,thk-gbond,1980,br-case-management
thinkers,جين كومبز,Gene Combs,thk-gcombs,1985,العلاج السردي (Narrative Therapy)
thinkers,جين إينيس,Gene Ennis,thk-gene-ennis,2015,br-recovery-oriented
thinkers,جورج إنغل,George L. Engel,thk-gengel,1953-1999,علم النفس الطبي النفسي
thinkers,جورج تومبسون,George Thompson,thk-george-thompson,2000,تحليل المعاملات (TA)
thinkers,غي. آي. غورجييف,G. I. Gurdjieff,thk-ggurdjieff,1912-1949,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,جيليان أبوت,Gillian Abbott,thk-gillian-abbott,2015,العلاج الديناميكي البيني القصير (DIT)
thinkers,غريغوري جوهانسون,Gregory Johanson,thk-gjohanson,1985,هاكومي (Hakomi)
thinkers,غاري لاندريث,Garry L. Landreth,thk-glandreth,1968,Filial Therapy (العلاج العلائقي الوالد-الطفل)
thinkers,جورج ليونارد,George Leonard,thk-gleonard,1966-2010,حركة اللقاء الجماعي
thinkers,غاري ميسيبوف,Gary B. Mesibov,thk-gmesibov,1972,br-teacch
thinkers,غيليس روز,Giles M. Rose,thk-grose,1985-2010,br-psychiatric-rehabilitation
thinkers,غيلي روزيليني,Gayle Rosellini,thk-groselli,1990,علاج إيماغو العلائقي (Imago)
thinkers,غاري شوارتز,Gary E. Schwartz,thk-gschwartz,1975,br-ai-chatbot-therapy
thinkers,جيفري شيبرد,Geoffrey Shepherd,thk-gshepherd,1980,br-case-management
thinkers,جونيل سيدِربلاد,Gunnel Cederblad,thk-gunnel-cederblad,1990,تحليل المعاملات (TA)
thinkers,غونتهارد فيبر,Gunthard Weber,thk-gweber,1985,تشكيلات الأسرة (Family Constellations)
thinkers,هاري أبونت,Harry J. Aponte,thk-haponte,1970,العلاج الأسري البنيوي
thinkers,هاري ستاك سوليفان,Harry Stack Sullivan,thk-harrystack-sullivan,1920-1949,الفرويدية الجديدة/التحليل البيني الثقافي
thinkers,هوارد بارباري,Howard E. Barbaree,thk-hbarbaree,1980-2015,br-sotp
thinkers,هانتر بومون,Hunter Beaumont,thk-hbeaumont,1995-2020,تشكيلات الأسرة (Family Constellations)
thinkers,هيبوليت برنهايم,Hippolyte Bernheim,thk-hbernheim,1882-1919,الماسمرية
thinkers,هارولد كراسيلنيك,Harold B. Crasilneck,thk-hcrsilneck,1955-2010,التنويم المعرفي
thinkers,دينا هيرشمان,Dina Wardi,thk-hershman,1985,العلاج الديناميكي البيني القصير (DIT)
thinkers,هنتر هوفمان,Hunter G. Hoffman,thk-hghoffman,2000,br-vr-therapy
thinkers,ف. هرتسوغ,F. Herzog,thk-hherzog,,البحث الظاهراتي
thinkers,هيلموت هوبر,Helmut Huber,thk-hhuber,1965-2005,مدرسة شولتز-هينكه الألمانية (Neo-Kraepelinian)
thinkers,هيروشي كاواشيما,Hiroshi Kawashima,thk-hkrystal,1975,علاج موريتا
thinkers,هانا كفياتكوفسكا,Hanna Yaxa Kwiatkowska,thk-hkwiatkowska,1956-1998,العلاج بالفن
thinkers,كريغ هندرسون,Craig E. Henderson,thk-hliddle-clin,2000,MDFT (العلاج الأسري متعدد الأبعاد)
thinkers,هيلين لاكيلي هانت,Helen LaKelly Hunt,thk-hlkelly,1980,علاج إيماغو العلائقي (Imago)
thinkers,إدموند هوسرل,Edmund Husserl,thk-hmhusserl,1900-1938,البحث الظاهراتي
thinkers,هاري بالمر,Harry Palmer,thk-hpalmer,1986,EST / Landmark Forum
thinkers,هربرت شليسنغر,Herbert Schlesinger,thk-hschlesinger,1965,التنويم التحليلي
thinkers,هنري ستيدمان,Henry J. Steadman,thk-hsteadman,1973-2010,br-therapeutic-risk-assessment
thinkers,هانس ستروب,Hans H. Strupp,thk-hstrupp,1955-2000,التحليل النفسي الدوري (Cyclical Psychodynamics)
thinkers,هربرت فاينر,Herbert Weiner,thk-hweiner,1970,علم النفس الطبي النفسي
thinkers,هارييت وايس,Harriet F. Weiss,thk-hweiss,1985,هاكومي (Hakomi)
thinkers,إرفنغ بيبر,Irving Bieber,thk-ibieber,1962-1985,العلاج بالتحويل (Conversion Therapy)
thinkers,شيرلي إِيبِرغ,Sheila M. Eyberg,thk-ieyberg,1980,PCIT
thinkers,إيزادور فروم,Isadore From,thk-ifrom,1965-2010,علاج الجشطالت (Gestalt Therapy)
thinkers,إيلانا روبنفِلد,Ilana Rubenfeld,thk-irubenfeld,1975-2019,الجشطالت الجسدي (Naranjo)
thinkers,إيرفين يالوم,Irvin D. Yalom,thk-irvinyalom,1962,المدرسة الوجودية
thinkers,[جمعية ISAP / إيلينا/آنا فاي-قاردنر],ISAP Zurich founders and senior figures,thk-isap,,مدرسة التحليل النفسي
thinkers,بي. كيه. إس. آيَنغَر,B. K. S. Iyengar,thk-iyengar,1936-2014,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,جاكلين أستنغتون,Jacqueline A. Astington,thk-jacqueline-astington,2010,تحليل المعاملات (TA)
thinkers,جاكلين پيرت,Jacqueline Peart,thk-jacqueline-peart,2010,br-restorative-justice
thinkers,جاكلين تورتوريلا,Jacqueline Tortorella,thk-jacqueline-tortorella,2018,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جاكلين فارنر,Jacqueline M. Varner,thk-jacqueline-varner,2010,br-sport-psychology
thinkers,جانيت أدلر,Janet Adler,thk-jadler,1980,الحركة الأصيلة
thinkers,نوربلز إيفانز-هيل,Nobles Evans-Hill,thk-jakhan,1972,علم النفس المتمركز حول أفريقيا
thinkers,جيمس بيرمان,James S. Berman,thk-james-berman,2010,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جيمس غومپرت,James Gumpert,thk-james-gumpert,2010,العلاج القائم على الأمل (Snyder)
thinkers,جانيت هيلمز,Janet E. Helms,thk-janethelms,1984,الاستشارات متعددة الثقافات
thinkers,جانيس ويليامز,Janice Williams,thk-janicewilliams,2005,Te Whare Tapa Whā (نموذج)
thinkers,جارلينا وايت,Jarlena White,thk-jarlena-white,2010,فرق العكس العاكسة (Reflecting Teams)
thinkers,جاي إيرلي,Jay Earley,thk-jayearly,1995,الأنساق الأسرية الداخلية (IFS)
thinkers,جون بانمن,John Banmen,thk-jbanmen,1975,نموذج ساتير للنمو
thinkers,جون بايلين,Jon Baylin,thk-jbaylin,1990,br-ddp
thinkers,جوديث بِك,Judith S. Beck,thk-jbeck,1985,العلاج المعرفي الكلاسيكي
thinkers,جوناثان بِكر,Jonathan Becker,thk-jbeker,2000,DDP (العلاج التفاعلي النمائي الثنائي)
thinkers,جيسيكا بنيامين,Jessica Benjamin,thk-jbenjamin,1988,التحليل النفسي النسوي
thinkers,ستيفن بيكو النفسي,Steve Biko (Psychological Reading),thk-jbiko,1970-1977,علم نفس الأوبونتو (Ubuntu)
thinkers,جين بيكر ميلر,Jean Baker Miller,thk-jbmiller,1976-2006,العلاج النفسي النسوي
thinkers,كاثلين براون,Kathleen Brown,thk-jbrowne,2000,العلاج بالكتابة/الكتابة التعبيرية
thinkers,ديفيد بيرنز,David D. Burns,thk-jburns,1980,العلاج المعرفي الكلاسيكي
thinkers,جوليا كاميرون,Julia Cameron,thk-jcameron,1992,العلاج بالكتابة/الكتابة التعبيرية
thinkers,جون سي. غيبز,John C. Gibbs,thk-jcgibbs,1979,br-aggression-treatment
thinkers,جون تشارلز,John Charles,thk-jchales,2000,CBCT (العلاج الزوجي المعرفي-السلوكي)
thinkers,جودي تشامبرلين,Judi Chamberlin,thk-jchamberlin,1975-2010,br-peer-support
thinkers,جون هـ. مَكغْرِي,John H. McGrew,thk-jcmcgrew,1990,br-psychiatric-rehabilitation
thinkers,خورخي كولابينتو,Jorge Colapinto,thk-jcolapinto,1975,العلاج الأسري البنيوي
thinkers,جون كونستانتينو,John N. Constantino,thk-jconstantino,2000,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,جوردان ديفيد,Jordan David,thk-jdavid,1990-2010,العلاج الاجتماعي (Social Therapy)
thinkers,جوديث دِلوزييه,Judith DeLozier,thk-jdelozier,1975-2015,البرمجة اللغوية العصبية (NLP)
thinkers,جوان ديفيد,JoAnn Difede,thk-jdifede,1998,br-vr-therapy
thinkers,جيفري زايغ,Jeffrey K. Zeig,thk-jeffrey-zeig,1980,التنويم الإريكسوني
thinkers,جينا براون,Jenna Brown,thk-jenna-brown,2014,br-discernment-counseling
thinkers,جينيفر تشيڤنز,Jennifer S. Cheavens,thk-jennifer-cheavens,2005,العلاج القائم على الأمل (Snyder)
thinkers,جينيفر أولدنغ,Jennifer Olding,thk-jennifer-olding,2015,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جينيفر شواب,Jennifer L. Schwab,thk-jenniferschwab,2015,Discernment Counseling (الاستشارة التمييزية)
thinkers,جيني كريستنسن,Jenny M. Christensen,thk-jenny-christensen,2010,العلاج الديناميكي البيني القصير (DIT)
thinkers,جوزيف فابري,Joseph Fabry,thk-jfabry,1955-1998,br-logotherapy
thinkers,خورخي فيرير,Jorge N. Ferrer,thk-jferrer,1990-2019,علم النفس التكاملي (Integral)
thinkers,جين فلاكس,Jane Flax,thk-jflax,1980,التحليل النفسي النسوي
thinkers,جون فوكس,John Fox,thk-jfox,1975,الشعر العلاجي
thinkers,جيمس فرامو,James L. Framo,thk-jframo,1962-2006,العلاج الأسري السياقي متعدد الأجيال
