category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,روبرت موشارك,Robert Mosak,thk-rmosak,1970,br-teacch,LIKELY_FABRICATED,No evidence of a Robert Mosak connected to TEACCH.,N-A
thinkers,روبرت بَرجِس,Robert L. Burgess,thk-robert-burgess,2012,PCIT (العلاج التفاعلي بين الوالد والطفل),LIKELY_FABRICATED,No evidence of a Robert L. Burgess as a founding/central PCIT figure.,N-A
thinkers,روبرت كورنليس,Robert E. Cornell,thk-robert-cornelis,1990,التركيز (Focusing),LIKELY_FABRICATED,No evidence of a Robert E. Cornell connected to Focusing (Gendlin's method); real associated figure is Ann Weiser Cornell (different first name).,N-A
thinkers,روبرت دوفال,Robert Duvall,thk-robertduvall,1970-2000,الديانيتكس / السيانتولوجيا,LIKELY_FABRICATED,"No evidence of a psychology figure named Robert Duvall connected to Dianetics/Scientology (only the actor Robert Duvall appears, unrelated).",N-A
thinkers,روبرت فريتز,Robert Fritz,thk-robertfritz,1975,السيبرنتيكا النفسية (Psycho-Cybernetics),CONFIRMED_REAL,Robert Fritz is a real author (The Path of Least Resistance) associated with the Psycho-Cybernetics Foundation carrying Maxwell Maltz's legacy.,TRUE
thinkers,روهان غوليتش,Rohan J. Gullich,thk-rohan-gullich,2005,br-sport-psychology,LIKELY_FABRICATED,"No evidence of a Rohan J. Gullich connected to sport psychology (real prominent researcher in the area is Arne Güllich, different name).",N-A
thinkers,رولاند تولنتينو,Roland B. Tolentino,thk-roland-tolentino,2000,Sikolohiyang Pilipino (Filipino Psychology),STILL_UNCERTAIN,"Roland/Rolando B. Tolentino is a real UP Diliman scholar who references Sikolohiyang Pilipino, but he is a film/cultural-studies scholar, not a psychology thinker in that school.",N-A
thinkers,روزماري أَلارا,Rosemary Alara,thk-rosemaryalara,1980,الديانيتكس / السيانتولوجيا,LIKELY_FABRICATED,No evidence of a Rosemary Alara connected to Dianetics/Scientology.,N-A
thinkers,راشِل بَرايس,Rachel Brice Price,thk-rprice,2005,Body-Mind Centering,LIKELY_FABRICATED,"Rachel Brice is a real person but a belly-dance performer, not connected to Body-Mind Centering.",N-A
thinkers,روبرت شورت,Robert Short,thk-rshort,1976,علاج إيماغو العلائقي (Imago),LIKELY_FABRICATED,No evidence of a Robert Short connected to Imago Relationship Therapy (real founders are Harville Hendrix and Helen LaKelly Hunt).,N-A
thinkers,تشو روي-لين,Zhou Ruilin,thk-ruilinzhou,2005,الطاوية المعرفية (Taoist Cognitive Therapy),LIKELY_FABRICATED,"No evidence of a 'Zhou Ruilin' among Chinese Taoist Cognitive Therapy researchers (real names include Zhang, Young, Chang).",N-A
thinkers,روبرت بريست,Robert Priest,thk-rupertpriest,2010,طريقة فيلدنكرايس,LIKELY_FABRICATED,No evidence of a Robert Priest connected to the Feldenkrais Method.,N-A
thinkers,روبرتو فيارو,Roberto Viaro,thk-rviaro,1990,br-brief-strategic-therapy,LIKELY_FABRICATED,No evidence of a Roberto Viaro connected to Milan Systemic or brief strategic therapy.,N-A
thinkers,سالما ريدنغ,Salma Reading,thk-salmareading,1995,Te Whare Tapa Whā (نموذج),LIKELY_FABRICATED,No evidence of a Salma Reading connected to Te Whare Tapa Whā.,N-A
thinkers,ساتيانارايانا دورِسوامي,Sathyanarayana Doreswamy,thk-sathyanarayana-doreswamy,1970,علم النفس الفيدي (المستند إلى الفيد),LIKELY_FABRICATED,No evidence of a Sathyanarayana Doreswamy connected to Vedic psychology as a thinker (only unrelated same/similar-named individuals found).,N-A
thinkers,سارا بوث,Sandra Lindaman Booth,thk-sbooth,1990,Theraplay (العلاج بالألعاب العلائقي),CONFIRMED_REAL,"Real person is Sandra Lindaman (Senior Training Advisor, Theraplay Institute); title_en 'Sandra Lindaman Booth' and title_ar 'Sara Booth' appear to be a name mix-up but underlying figure matches the Theraplay field closely.",TRUE
thinkers,سو دوغلاس,Sue Douglas,thk-sdouglas,2005,br-ddp,LIKELY_FABRICATED,No evidence of a Sue Douglas connected to Dyadic Developmental Psychotherapy (DDP); real founder is Dan Hughes.,N-A
thinkers,شارون هاپاي,Sharron Hapai,thk-sharron-hapai,2010,Te Whare Tapa Whā (نموذج),LIKELY_FABRICATED,No evidence of a Sharron Hapai connected to Te Whare Tapa Whā.,N-A
thinkers,شيرلي موراي,Shirley Murray,thk-shirley-murray,2000,تقنية ألكسندر,LIKELY_FABRICATED,No evidence of a Shirley Murray connected to the Alexander Technique.,N-A
thinkers,سام كالاما,Sam Kalama,thk-skalama,1970-2000,Ho'oponopono (هاواي),LIKELY_FABRICATED,No evidence of a Sam Kalama connected to Ho'oponopono as a thinker/teacher.,N-A
thinkers,ستيفان بايبِر,Stefan B. Piper,thk-spiper,1995,علم النفس النقدي,LIKELY_FABRICATED,No evidence of a Stefan B. Piper connected to critical psychology.,N-A
thinkers,ستيفن تالي,Stephen F. Talley,thk-stephen-talley,2015,br-discernment-counseling,LIKELY_FABRICATED,No evidence of a Stephen F. Talley connected to Discernment Counseling (real founder is William Doherty).,N-A
thinkers,ستيفن بورغس,Stephen Burgess,thk-stephenburgess,2015,طريقة فيلدنكرايس,LIKELY_FABRICATED,"No evidence of a Stephen Burgess connected to the Feldenkrais Method (a different, unrelated 'Robert Burgess' is a real Feldenkrais practitioner).",N-A
thinkers,ستيغ راسموسن,Stig Rasmussen,thk-stig-rasmussen,2000,التنويم الذاتي,LIKELY_FABRICATED,"No evidence of a Stig Rasmussen connected to self-hypnosis (unrelated Rasmussens found: chess player, hypnotist Jørgen Rasmussen).",N-A
thinkers,سوزان كوخ,Susan Koch,thk-susan-koch,2000,العلاج بالحركة والرقص,LIKELY_FABRICATED,"No evidence of a Susan Koch connected to dance/movement therapy (real prominent DMT researchers are Sabine Koch and Nana Koch, different first names).",N-A
thinkers,سوزان تاينز,Susan Tynes,thk-susan-tynes,2010,العلاج بالتصوير الضوئي,LIKELY_FABRICATED,No evidence of a Susan Tynes connected to phototherapy/photo therapy.,N-A
thinkers,تاكيشي ياسومارو,Takeshi Yasumaru,thk-takeshiyasumaru,1950-2010,علاج نايكان,LIKELY_FABRICATED,No evidence of a Takeshi Yasumaru connected to Naikan therapy.,N-A
thinkers,تيريزا أندرِآس,Teresa Andreas,thk-tandreas,1990,البرمجة اللغوية العصبية (NLP),LIKELY_FABRICATED,"No evidence of a Teresa Andreas connected to NLP (real NLP Andreas family figures are Steve, Connirae, and Mark Andreas).",N-A
thinkers,تيرو أوتا,Teruo Ohta,thk-teruo-ohta,1970,علاج نايكان,LIKELY_FABRICATED,No evidence of a Teruo Ohta connected to Naikan therapy.,N-A
thinkers,تيري غيلنغهام,Terry Gillingham,thk-tgillingham,1990,هاكومي (Hakomi),LIKELY_FABRICATED,No evidence of a Terry Gillingham connected to Hakomi therapy.,N-A
thinkers,تيريزا غلاسر,Theresa Glasser,thk-theresaglasser,2010,العلاج التفاعلي النمائي الثنائي (DDP),LIKELY_FABRICATED,No evidence of a Theresa Glasser connected to DDP; real similarly-named psychologist Theresa Glaser found but unrelated field.,N-A
thinkers,توماس سيلز,Thomas Sells,thk-thomas-sells,2010,br-discernment-counseling,LIKELY_FABRICATED,No evidence of a Thomas Sells connected to Discernment Counseling.,N-A
thinkers,تيموثي كلانتون,Timothy G. Clanton,thk-timothyclanton,2018,Discernment Counseling (الاستشارة التمييزية),LIKELY_FABRICATED,No evidence of a Timothy G. Clanton connected to Discernment Counseling.,N-A
thinkers,تاكيهيسا إيسومه,Takeshi Isomae,thk-tisoma,1990,Constructive Living,LIKELY_FABRICATED,No evidence of a Takeshi Isomae connected to Constructive Living (real founder is David K. Reynolds).,N-A
thinkers,توم كورنويل,Tom Cornwell,thk-tom-cornwell,2000,br-restorative-justice,LIKELY_FABRICATED,"No evidence of a Tom Cornwell connected to restorative justice (real restorative-justice author is David J. Cornwell, different first name).",N-A
thinkers,توني سيكستون,Toni L. Sexton,thk-tsexton,2000,PCIT,LIKELY_FABRICATED,No evidence of a Toni L. Sexton connected to PCIT.,N-A
thinkers,تِمُوتي تشيشيكو,T.G. Tshishiku,thk-ttshishiku,1990-2010,علم نفس الأوبونتو (Ubuntu),LIKELY_FABRICATED,No evidence of a T.G. Tshishiku connected to Ubuntu psychology.,N-A
thinkers,فابريتسيو كَريرا,Fabrizio Carrera,thk-vcarrera,1990,العلاج الأسري الميلاني (Milan Systemic),LIKELY_FABRICATED,No evidence of a Fabrizio Carrera connected to Milan Systemic family therapy.,N-A
thinkers,ويلِم سَبُولدِنغ,Wilma Spaulding,thk-wspaulding,1970-2010,br-psychiatric-rehabilitation,LIKELY_FABRICATED,No evidence of a Wilma Spaulding connected to psychiatric rehabilitation; real researcher William Spaulding (UNL) exists but different first name/gender.,N-A
thinkers,تشو يي-هوا,Zhu Yihua,thk-yihuazhu,2005,الطاوية المعرفية (Taoist Cognitive Therapy),LIKELY_FABRICATED,No evidence of a Zhu Yihua among Chinese Taoist Cognitive Therapy researchers.,N-A
thinkers,إيڤاني إدمون,Yvani E. Edmon,thk-yvaniedmon,2000,طريقة فيلدنكرايس,LIKELY_FABRICATED,No evidence of a Yvani E. Edmon connected to the Feldenkrais Method.,N-A
