category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,جون ماكنتوش,John McIntosh,thk-johnmcintosh,1975-present,علم النفس الإكلينيكي / الفجيعة والانتحار,CONFIRMED_REAL,"John L. McIntosh, Professor Emeritus of Psychology, Indiana University South Bend, leading suicidology/bereavement researcher, co-editor of 'Grief After Suicide' (2011).",TRUE
thinkers,جوناه لويز,Jonah Lehrer,thk-jonahlewis,2007-2012,صحافة علمية / علم الأعصاب الشعبي,CONFIRMED_REAL,"Well-known American science writer (How We Decide, Imagine); English name corrected to Jonah Lehrer (not 'Lewis'). Active period matches his rise and 2012 fabrication scandal.",TRUE
thinkers,خوسيه أرسينيو,José Arsenio,thk-jose-arsenio,,Sikolohiyang Pilipino (Filipino Psychology),LIKELY_FABRICATED,"The real founder of Sikolohiyang Pilipino is Virgilio G. Enriquez; no 'José Arsenio' found in this field.",FALSE
thinkers,خوسيه سالغادو,José Salgado,thk-jose-salgado,,التنويم الذاتي,LIKELY_FABRICATED,"No self-hypnosis theorist by this name found.",FALSE
thinkers,جوزيف باربر,Joseph Barber,thk-joseph-barber,,أسلوب إلمان في التنويم,CONFIRMED_REAL_WRONG_SCHOOL,"Real clinical psychologist and hypnosis/pain-management scholar (Univ. of Washington, Milton Erickson Foundation speaker), but documented in the Ericksonian clinical-hypnosis tradition, not Dave Elman's rapid-induction style. Corrected school to 'التنويم الإكلينيكي (تقليد إريكسون)'.",TRUE
thinkers,جوزيف ترايمبل,Joseph E. Trimble,thk-josephtrimble,,الاستشارات متعددة الثقافات,CONFIRMED_REAL,"Well-documented pioneer psychologist (b. 1938), Western Washington University, multicultural/cross-cultural counseling with Native American populations. Matches school exactly.",TRUE
thinkers,جون بار,John Parr,thk-jparrh,,الأنظمة اللغوية التعاونية,CONFIRMED_REAL_WRONG_SCHOOL,"Real UK psychotherapist/PCM Master Trainer who developed the 'Emotional Assertiveness Model' (1995); no documented connection to collaborative language systems (Anderson/Goolishian). Corrected school to 'نموذج التواصل بالعمليات (PCM)'.",TRUE
thinkers,جيرالد باترسون,Gerald R. Patterson,thk-jpatterson,,MDFT (العلاج الأسري متعدد الأبعاد),CONFIRMED_REAL_WRONG_SCHOOL,"Very well-documented psychologist (1927–2016), founder of Oregon Social Learning Center, coercion theory, and PMTO — not Multidimensional Family Therapy (MDFT, founded by Howard Liddle). Corrected school to 'التدريب على إدارة الوالدين (PMTO) ونظرية القسر'.",TRUE
thinkers,جي رامييرو,Jean-Luc Ramaro,thk-jramiro,,Ho'oponopono (هاواي),LIKELY_FABRICATED,"No trace of this person in Ho'oponopono literature.",FALSE
thinkers,جوردان ريد,Jordan Reed,thk-jrivett,,العلاج الزوجي التعاوني (Collaborative Couple Therapy),LIKELY_FABRICATED,"Only generic SEO/relationship-coaching content and a practicing LISW therapist found; no documented collaborative-couple-therapy theorist.",FALSE
thinkers,ج. لوك ويلز,J. Luke Wood,thk-jroddy,,br-teacch,LIKELY_FABRICATED,"J. Luke Wood is a real, well-documented person but works in higher-education diversity/equity leadership (university president), with no connection to TEACCH (founded by Eric Schopler).",FALSE
thinkers,ياكوب شنايدر,Jakob Schneider,thk-jschneider,,تشكيلات الأسرة (Family Constellations),CONFIRMED_REAL,"Jakob Robert Schneider, well-documented German family-constellations therapist/author in the Hellinger tradition, author of 'Family Constellations: Basic Principles and Procedures'.",TRUE
thinkers,جون شوتر,John Shotter,thk-jshotter,1970-2016,البنائية الاجتماعية (Social Constructionism),CONFIRMED_REAL,"Well-documented British social constructionist psychologist (1937–2016), influential in social constructionism and Open Dialogue. Matches school exactly.",TRUE
thinkers,جيم سيميرماتشر,Jim Simmermacher,thk-jsimmermacher,,الشعر العلاجي,LIKELY_FABRICATED,"No poetry-therapy theorist by this name found; only an unrelated OT-related historical name (Eugene Simmermacher) and a thesis title mention.",FALSE
thinkers,جينيفر تولمان,Jennifer Tolman,thk-jtolman,,العلاج الاجتماعي (Social Therapy),LIKELY_FABRICATED,"No connection found between any Jennifer Tolman and Social Therapy (Newman/Holzman tradition).",FALSE
thinkers,جولي رولينز,Julie Rawlins,thk-julierawlins,,تقنية ألكسندر,LIKELY_FABRICATED,"No Julie Rawlins found teaching or documented in Alexander Technique; a different real person, 'Parker Rawlins', teaches Alexander Technique at UTK.",FALSE
thinkers,جون وِكلاند,John H. Weakland,thk-jweakland,1963-1990,العلاج الأسري الاستراتيجي (Palo Alto/MRI),CONFIRMED_REAL,"Very well-documented founding member of Bateson's project and MRI Palo Alto group (1919–1995), co-author of double-bind theory and of 'Change' with Watzlawick and Fisch.",TRUE
thinkers,جوزيف فايزنباوم,Joseph Weizenbaum,thk-jweizenbaum,1966-1988,br-ai-chatbot-therapy,CONFIRMED_REAL,"Very well-documented MIT computer scientist (1923–2008), creator of ELIZA (1966), the first chatbot to simulate a Rogerian therapist. Matches school well.",TRUE
thinkers,جوزيف زِنكِر,Joseph Zinker,thk-jzinker,1970-2010,الجشطالت الجسدي (Naranجو),CONFIRMED_REAL,"Real, well-documented Gestalt therapist (1929–2015), Cleveland Gestalt Institute, author of 'Creative Process in Gestalt Therapy'; not specifically part of Claudio Naranjo's branch as originally labeled. School corrected to general 'علاج الجشطالت'.",TRUE
thinkers,كيران عاشان,Kiran Ashana,thk-kashan,2010,علم النفس الإيجابي الشرقي,LIKELY_FABRICATED,"No trace of this specific person found in Eastern/positive psychology literature.",FALSE
thinkers,كاثي لورنسو,Kathy J. Laurenceau,thk-kathylaurenceau,2000,Discernment Counseling (الاستشارة التمييزية),LIKELY_FABRICATED,"A real relationship-intimacy researcher, Jean-Philippe Laurenceau, exists, but not 'Kathy J. Laurenceau' and not in discernment counseling.",FALSE
thinkers,كايتي ري,Katie Rae,thk-katie-rae,2015,إعادة الولادة,LIKELY_FABRICATED,"Common name matching authors, musicians, photographers — no rebirthing-therapy figure found.",FALSE
thinkers,كاتكا روبين,Katka Rubin,thk-katka-rubin,2012,التركيز (Focusing),LIKELY_FABRICATED,"No 'Katka Rubin' found in Focusing (Gendlin) literature; a 'K.S. Rubin' appears as a book co-editor but insufficient to confirm identity/match.",FALSE
thinkers,كيكو هوشينو,Keiko Hoshino,thk-keiko-hoshino,1980,علاج نايكان,LIKELY_FABRICATED,"No Naikan-therapy connection found; the documented 'Keiko Hoshino' individuals are a transactional-analysis trainer, a graphic designer, and an artist — none matching.",FALSE
thinkers,كولين كيلي,Colleen Kelley,thk-kelleycolleen,1990,العلاج الحسي-الحركي (Sensorimotor Psychotherapy),LIKELY_FABRICATED,"Sensorimotor Psychotherapy was founded by Pat Ogden; no Colleen Kelley found connected to it (several unrelated therapists/theatre educators share the name).",FALSE
thinkers,كيفن سپارجر,Kevin L. Sparger,thk-kevin-sparger,2010,العلاج القائم على الأمل (Snyder),LIKELY_FABRICATED,"No trace of this person connected to Snyder's hope therapy.",FALSE
thinkers,كيم فيني,Kim Feeney,thk-kfeeney,2000,PREP (برنامج تعزيز العلاقة والوقاية),LIKELY_FABRICATED,"PREP was founded by Markman, Stanley, and Blumberg; Kim Feeney appears only as unrelated professionals (play therapist, DV advocate).",FALSE
thinkers,[مؤسِّسو SFJA / ISAP / NYAAP / JPA / IRSJA / PCSJA / CSJA / DSJA / GAJA / JAWA / NCSJA / NMSJA / OVAJA / PAJA / PNSJA / PSJA],Founders of US Jungian associations and institutes,thk-kmurah,,مدرسة التحليل النفسي,LIKELY_FABRICATED,"Generic/collective placeholder, not a real named individual matching a specific documented person.",FALSE
thinkers,كويتشي ناكامورا,Kōichi Nakamura,thk-knakamura,1980,Constructive Living,LIKELY_FABRICATED,"Constructive Living was founded by David K. Reynolds, not Koichi Nakamura; no trace of this specific person as a CL founder/theorist (a different, unrelated Nakamura appears in Morita therapy literature).",FALSE
thinkers,[مؤسِّسو DGAP] DGAP founders (ألمانيا),DGAP founders (Deutsche Gesellschaft für Analytische Psychologie),thk-knoblauch,,مدرسة التحليل النفسي,LIKELY_FABRICATED,"Generic/collective placeholder, not a real named individual.",FALSE
thinkers,كن رِجباي,Ken Rigby,thk-krigby,1994,علاج التنمر والعدوان,CONFIRMED_REAL,"Well-documented Australian psychologist, adjunct professor at University of South Australia, world-leading bullying researcher since 1990, author of 'Bullying in Schools'. Matches school exactly.",TRUE
thinkers,كريستين بَس,Kristin B. Buss,thk-kristin-buss,2010,PCIT (العلاج التفاعلي بين الوالد والطفل),CONFIRMED_REAL,"Kristin A. Buss, real Penn State developmental psychologist studying temperament/emotion regulation and parent-child relationships, former director of Parents And Children Together (PACT) program — closely related to but not the original PCIT founder (Sheila Eyberg).",TRUE
thinkers,شيرمان كيرتز,Sherman E. Kurtz,thk-kurtz-sherman,2012,br-recovery-oriented,LIKELY_FABRICATED,"No trace of this specific person found in recovery-oriented psychiatry literature; only an unrelated 'Kurtz' citation on self-help groups (1987).",FALSE
thinkers,لارس يوهانسون,Lars Johansson,thk-lars-johansson,2005,فرق العكس العاكسة (Reflecting Teams),LIKELY_FABRICATED,"No connection found between any Lars Johansson and reflecting-teams therapy.",FALSE
thinkers,لاڤينيا شو,Lavinia Shaw,thk-lavinia-shaw,2005,طريقة فيلدنكرايس,LIKELY_FABRICATED,"No 'Lavinia Shaw' found in Feldenkrais literature; a different, unrelated real Feldenkrais teacher named Lavinia Plonka exists.",FALSE
thinkers,لورا بارِت,Laurence A. Barrett,thk-lbarrett,1980-2010,العلاج بالتحويل (Conversion Therapy),LIKELY_FABRICATED,"No connection found between any Laurence Barrett and conversion therapy; a real 'Laurence Barrett' is a Jungian executive coach, unrelated.",FALSE
thinkers,ألن وولاس,H. Allan Wallace,thk-lcwallace,1972,علم النفس التكاملي (Integral),CONFIRMED_REAL_WRONG_SCHOOL,"Real, well-documented figure B. Alan Wallace (b. 1950), Buddhist scholar and coiner of 'Contemplative Science', not part of Ken Wilber's Integral psychology school as originally labeled. Corrected school to 'علم التأمل التعاقدي (العلوم التأملية)'.",TRUE
thinkers,لاري ديفيدسون,Larry Davidson,thk-ldavidson,1990,دعم الأقران (br-peer-support),CONFIRMED_REAL,"Well-documented Yale professor of psychology, director of Program for Recovery and Community Health, leading peer-support/recovery researcher (b. 1960). Matches school exactly.",TRUE
thinkers,لويز دي سالفو,Louise DeSalvo,thk-ldesalvo,1980-2018,العلاج بالكتابة/الكتابة التعبيرية,CONFIRMED_REAL,"Well-documented American writer/professor (1942–2018), author of 'Writing as a Way of Healing'. Matches school exactly.",TRUE
thinkers,لي هيونغ-جون,Lee Hyung-Jun,thk-leehyungjun,2000,علاج الهوابيونغ (Hwabyung),LIKELY_FABRICATED,"No specific documented researcher named 'Lee Hyung-Jun' found among Hwabyung researchers (documented names include J. Lee, S.K. Min, J.H. Lee, etc., but none matching this exact name with confidence).",FALSE
